	score1	score2	score3	score4
datum1377	2.364	0.913	13.818	40.392
datum1378	13.504	4.559	11.663	29.231
datum1379	17.307	4.104	10.505	40.148
datum1380	16.903	14.525	18.214	41.204
datum1381	8.441	12.832	14.550	58.288
datum1382	8.516	15.598	14.732	26.469
datum1383	3.265	0.642	12.634	27.665
datum1384	10.697	3.423	19.071	29.315
datum1385	4.744	11.535	17.717	155.856
datum1386	7.350	16.093	17.300	24.167
datum1387	2.847	4.177	14.622	76.240
datum1388	8.028	8.768	13.094	33.120
datum1389	15.465	0.386	17.083	1152.399
datum1390	5.805	11.468	13.818	44.814
datum1391	1.537	6.496	11.584	121.847
datum1392	3.981	8.097	16.982	25.084
datum1393	13.672	12.175	19.888	21.305
datum1394	8.226	6.607	16.840	22.098
datum1395	11.976	2.699	11.940	28.335
datum1396	8.290	7.919	17.517	29.316
datum1397	11.633	10.110	14.727	51.153
datum1398	16.200	0.206	10.167	196.695
datum1399	1.442	1.824	16.203	153.005
datum1400	7.083	13.897	14.886	32.108
datum1401	18.407	5.115	14.260	104.689
datum1402	18.850	12.731	12.168	114.357
datum1403	16.021	1.410	14.891	22.394
datum1404	10.327	9.995	12.843	22.157
datum1405	14.410	13.951	16.964	62.816
datum1406	12.595	9.176	15.150	25.485
datum1407	0.883	3.095	14.109	458.460
datum1408	8.205	15.811	14.341	24.353
datum1409	9.197	13.307	10.854	34.955
datum1410	5.056	0.792	14.840	65.132
datum1411	12.727	13.085	18.633	30.225
datum1412	18.007	3.029	17.387	20.903
datum1413	19.212	15.293	14.291	42.405
datum1414	16.662	8.035	14.026	52.527
datum1415	13.592	1.015	10.201	27.629
datum1416	9.374	2.584	10.667	677.588
datum1417	9.924	15.162	17.671	26.592
datum1418	12.037	13.302	18.677	115.895
datum1419	8.075	9.220	11.709	26.698
datum1420	16.243	3.172	13.114	40.061
datum1421	16.420	4.192	16.499	42.730
datum1422	0.875	8.787	15.902	375.758
datum1423	16.948	10.140	19.827	103.054
datum1424	17.832	3.777	16.634	35.410
datum1425	1.389	4.977	10.320	96.305
datum1426	9.286	12.801	10.468	34.794
datum1427	6.308	1.164	12.812	27.179
datum1428	18.188	13.706	19.279	23.137
datum1429	19.848	0.960	16.308	31.374
datum1430	18.666	5.029	15.388	83.504
datum1431	19.080	5.481	10.164	35.129
datum1432	16.616	14.553	19.871	201.880
datum1433	1.851	15.176	17.073	22.377
datum1434	2.672	7.436	17.499	31.793
datum1435	17.580	6.701	11.559	47.359
datum1436	16.024	2.204	11.277	22.513
datum1437	2.902	14.695	16.051	105.721
datum1438	15.268	9.875	18.278	23.780
datum1439	3.407	14.652	14.243	338.526
datum1440	0.963	4.103	16.199	75.025
datum1441	5.208	10.168	11.475	27.128
datum1442	17.446	0.539	17.725	55.623
datum1443	15.258	5.262	16.423	48.178
datum1444	17.924	11.071	10.234	107.012
datum1445	16.286	14.310	15.470	127.810
datum1446	4.185	15.735	12.122	34.795
datum1447	16.583	3.166	14.035	58.620
datum1448	18.098	15.554	15.390	105.337
datum1449	5.017	15.446	12.667	40.231
datum1450	14.526	2.833	11.627	211.409
datum1451	4.001	3.835	11.230	33.583
datum1452	0.840	15.392	17.729	28.421
datum1453	19.807	16.458	13.430	25.302
datum1454	12.770	0.121	11.253	42.661
datum1455	19.522	16.603	14.985	40.505
datum1456	14.701	14.325	10.218	29.685
datum1457	19.096	5.665	12.697	28.440
datum1458	18.615	13.925	10.179	26.133
datum1459	1.815	4.359	15.077	196.709
datum1460	11.698	6.003	11.903	62.877
datum1461	15.002	4.222	11.930	25.812
datum1462	14.867	14.048	12.349	20.161
datum1463	15.549	15.243	16.586	67.088
datum1464	12.922	8.701	10.914	34.876
datum1465	10.774	16.097	10.786	38.628
datum1466	11.536	14.124	10.357	44.821
datum1467	3.893	10.642	13.474	543.297
datum1468	15.566	1.020	14.699	33.601
datum1469	10.123	15.386	16.702	38.973
datum1470	0.450	16.525	12.530	26.480
datum1471	15.091	12.420	17.226	52.890
datum1472	16.532	16.453	10.111	1539.702
datum1473	15.470	11.222	10.344	189.630
datum1474	8.010	0.391	14.619	95.706
datum1475	3.394	8.925	16.745	29.232
datum1476	17.067	16.357	13.061	21.843
datum1477	14.695	16.231	15.333	31.197
datum1478	16.619	10.904	12.621	66.583
datum1479	1.811	14.884	12.167	271.087
datum1480	5.046	3.550	16.467	618.651
datum1481	16.425	16.070	12.514	46.951
datum1482	4.312	14.104	18.790	28.950
datum1483	6.999	12.294	11.119	186.954
datum1484	14.525	14.900	17.590	85.923
datum1485	9.088	16.178	16.993	280.846
datum1486	5.753	10.081	10.432	23.492
datum1487	11.733	10.003	14.703	21.500
datum1488	6.134	4.712	11.482	54.479
datum1489	12.427	8.590	14.456	40.919
datum1490	7.044	10.979	15.559	33.666
datum1491	16.203	6.593	12.824	59.882
datum1492	2.446	15.253	13.046	27.407
datum1493	11.676	13.014	15.970	29.694
datum1494	16.138	4.638	14.760	119.091
datum1495	0.845	14.529	11.278	25.467
datum1496	9.518	1.271	14.308	37.683
datum1497	7.251	12.805	17.180	32.139
datum1498	8.879	12.736	11.582	31.943
datum1499	2.459	9.691	14.879	72.898
datum1500	17.791	16.382	16.350	23.760
datum1501	16.622	2.555	11.675	2523.685
datum1502	17.912	10.694	15.056	61.329
datum1503	15.438	6.749	10.118	25.875
datum1504	14.124	11.950	18.799	39.868
datum1505	3.597	13.118	18.575	187.567
datum1506	2.417	9.122	18.140	157.110
datum1507	3.011	15.500	18.126	52.994
datum1508	9.822	15.264	11.407	280.828
datum1509	11.939	12.826	17.320	22.070
datum1510	6.082	0.266	13.457	149.331
datum1511	5.521	6.330	19.202	91.492
datum1512	8.169	15.474	10.740	42.630
datum1513	4.706	0.164	17.326	34.407
datum1514	18.793	0.088	10.710	25.728
datum1515	13.398	5.712	11.113	29.808
datum1516	14.304	3.601	14.531	21.689
datum1517	16.714	6.708	13.086	20.017
datum1518	5.684	0.505	10.575	677.543
datum1519	15.753	10.409	10.711	24.432
datum1520	18.269	12.991	14.146	59.891
datum1521	18.912	6.766	15.340	35.772
datum1522	4.444	12.184	17.083	35.870
datum1523	18.864	12.257	10.277	28.332
datum1524	16.509	2.133	18.555	55.632
datum1525	16.148	0.270	12.344	22.204
datum1526	11.834	16.024	14.107	25.744
datum1527	6.964	7.534	13.463	46.806
datum1528	4.849	1.610	13.904	26.488
datum1529	0.484	1.080	17.388	58.129
datum1530	7.344	8.429	12.827	57.190
datum1531	7.089	6.762	11.034	40.395
datum1532	11.541	12.954	14.203	23.444
datum1533	8.548	15.467	12.928	23.683
datum1534	15.933	5.794	10.821	60.376
datum1535	7.271	7.490	14.479	27.410
datum1536	11.644	8.351	15.571	131.347
datum1537	14.807	11.337	12.342	51.412
datum1538	8.274	8.974	12.271	77.966
datum1539	17.186	6.984	11.640	82.972
datum1540	18.273	7.683	11.454	30.469
datum1541	5.531	13.651	12.480	67.688
datum1542	6.485	8.886	15.698	32.755
datum1543	19.376	15.911	18.376	53.767
datum1544	6.898	10.576	17.713	246.960
datum1545	2.085	10.792	12.276	32.732
datum1546	0.184	10.166	19.749	36.180
datum1547	13.147	6.812	15.106	89.630
datum1548	17.984	3.366	19.479	50.053
datum1549	9.421	1.939	17.884	62.595
datum1550	15.809	9.681	19.772	91.519
datum1551	14.985	11.005	10.371	43.670
datum1552	2.474	14.815	10.657	152.073
datum1553	13.142	12.450	12.335	523.532
datum1554	10.404	11.705	13.276	24.238
datum1555	6.264	14.441	19.087	983.665
datum1556	2.371	5.444	17.544	147.501
datum1557	19.092	2.833	15.413	174.167
datum1558	1.643	2.043	12.283	29.647
datum1559	1.462	1.022	19.297	20.461
datum1560	5.010	12.526	11.507	40.267
datum1561	5.914	13.357	14.443	60.417
datum1562	8.042	15.366	13.005	21.830
datum1563	17.528	2.569	14.325	63.298
datum1564	8.019	11.272	12.288	54.287
datum1565	10.027	9.804	10.847	239.684
datum1566	0.784	8.087	16.476	24.408
datum1567	14.736	1.905	14.947	945.476
datum1568	19.498	12.600	16.230	1135.443
datum1569	18.553	11.332	17.205	25.646
datum1570	10.946	15.394	15.568	184.632
datum1571	19.945	14.960	10.750	327.514
datum1572	6.544	9.635	17.221	253.463
datum1573	7.751	12.069	13.484	20.907
datum1574	15.305	10.281	18.702	62.029
datum1575	7.477	7.544	19.335	39.707
datum1576	5.900	10.906	15.418	20.939
datum1577	7.203	9.115	18.765	363.210
datum1578	1.062	9.120	17.444	20.745
datum1579	17.298	16.173	11.236	45.238
datum1580	14.691	14.630	11.587	40.227
datum1581	16.300	11.449	13.410	173.876
datum1582	14.983	13.726	15.665	109.602
datum1583	4.946	14.682	18.981	20.310
datum1584	5.445	16.153	18.433	71.624
datum1585	2.897	2.042	15.702	78.299
datum1586	18.732	8.047	11.310	30.080
datum1587	12.215	5.827	19.330	104.867
datum1588	10.059	15.989	19.872	53.665
datum1589	5.437	12.387	16.507	23.147
datum1590	6.335	6.431	18.392	29.238
datum1591	3.095	2.336	19.211	33.696
datum1592	18.041	5.072	15.536	20.528
datum1593	9.446	1.213	11.132	50.122
datum1594	12.111	16.614	11.441	34.342
datum1595	8.554	13.404	14.293	45.539
datum1596	3.879	2.295	19.103	50.338
datum1597	19.695	0.840	11.352	164.594
datum1598	6.042	0.766	11.656	113.241
datum1599	13.589	15.447	14.500	20.355
datum1600	5.703	6.439	11.615	34.624
datum1601	10.506	5.147	16.916	29.841
datum1602	0.932	12.509	15.434	36.580
datum1603	3.531	6.995	14.105	38.662
datum1604	6.396	5.407	12.248	20.177
datum1605	14.478	3.565	14.585	36.581
datum1606	14.878	16.324	11.119	49.888
datum1607	2.349	7.031	17.096	22.421
datum1608	19.064	16.397	13.608	21.069
datum1609	6.797	5.916	17.740	26.303
datum1610	2.156	8.048	16.320	21.182
datum1611	15.072	8.588	10.559	26.115
datum1612	9.718	2.723	18.745	37.219
datum1613	6.200	0.067	16.729	131.641
datum1614	0.428	0.005	11.805	37.505
datum1615	2.280	12.581	18.798	38.566
datum1616	18.218	13.895	17.918	44.804
datum1617	10.246	8.893	15.962	31.368
datum1618	11.587	13.958	17.711	42.152
datum1619	0.442	16.351	19.375	29.718
datum1620	8.734	6.542	10.826	421.182
datum1621	15.755	11.151	11.836	23.828
datum1622	17.515	1.622	16.669	1034.748
datum1623	9.079	3.814	13.428	431.329
datum1624	14.067	15.387	11.117	25.821
datum1625	18.395	15.524	14.308	34.834
datum1626	14.044	12.960	19.188	27.653
datum1627	13.669	9.396	12.519	223.425
datum1628	6.542	5.630	18.094	23.812
datum1629	2.672	15.755	11.052	2861.761
datum1630	17.150	16.341	19.482	87.805
datum1631	6.942	1.163	11.008	48.033
datum1632	2.489	16.324	19.212	22.603
datum1633	12.845	16.563	10.896	1050.673
datum1634	1.962	5.137	18.242	71.233
datum1635	14.268	2.764	18.139	23.724
datum1636	7.631	2.619	10.633	39.882
datum1637	8.417	9.041	12.719	61.176
datum1638	2.399	16.779	17.317	34.720
datum1639	13.764	12.910	11.507	44.591
datum1640	12.269	16.038	16.040	124.200
datum1641	11.826	9.741	18.272	176.374
datum1642	10.386	10.896	16.750	27.533
datum1643	12.195	11.415	12.571	41.679
datum1644	17.207	0.265	17.893	29.284
datum1645	3.663	14.179	17.379	108.012
datum1646	5.421	1.879	17.996	20.198
datum1647	7.371	5.976	19.823	105.358
datum1648	17.811	0.770	19.621	498.633
datum1649	5.037	7.358	10.352	23.896
datum1650	10.011	2.658	10.313	37.493
datum1651	18.505	9.198	18.716	33.750
datum1652	17.506	14.874	10.458	83.826
datum1653	18.163	2.292	11.317	268.324
datum1654	2.783	0.954	12.194	20.512
datum1655	12.290	12.594	11.312	26.013
datum1656	19.758	15.871	11.089	41.570
datum1657	1.700	6.261	12.210	26.063
datum1658	13.032	1.456	14.017	32.525
datum1659	3.175	4.650	16.721	226.910
datum1660	19.050	9.333	14.479	2911.269
datum1661	0.638	10.539	16.737	67.797
datum1662	16.802	9.847	13.304	45.865
datum1663	12.015	7.805	17.762	59.411
datum1664	1.495	1.836	17.685	24.366
datum1665	19.904	12.201	14.101	103.257
datum1666	14.881	8.556	12.175	61.326
datum1667	13.792	1.143	16.893	41.001
datum1668	9.602	8.853	17.835	30.042
datum1669	9.808	9.783	12.951	40.411
datum1670	5.829	16.023	15.299	80.605
datum1671	17.415	11.467	16.069	27.204
datum1672	17.635	12.728	10.256	20.917
datum1673	17.343	7.990	16.858	45.311
datum1674	11.912	16.767	12.328	105.311
datum1675	18.573	0.581	13.521	184.833
datum1676	19.714	5.067	14.826	36.131
datum1677	2.144	13.174	12.598	23.212
datum1678	13.154	10.245	13.260	38.692
datum1679	14.157	5.795	10.797	21.336
datum1680	11.224	14.301	19.351	35.208
datum1681	10.459	2.393	14.054	44.874
datum1682	19.300	8.201	10.243	142.914
datum1683	18.067	9.165	13.184	105.534
datum1684	10.063	8.340	19.468	28.165
datum1685	1.560	7.915	18.095	84.679
datum1686	1.344	14.037	16.730	28.688
datum1687	3.150	8.766	17.613	44.573
datum1688	2.633	9.824	11.324	684.103
datum1689	0.972	5.683	11.913	44.856
datum1690	5.085	12.290	15.918	69.967
datum1691	6.920	12.972	16.150	24.049
datum1692	16.894	12.656	16.558	23.334
datum1693	0.071	0.747	16.177	36.378
datum1694	5.279	4.966	11.948	49.793
datum1695	9.432	0.535	13.079	40.478
datum1696	6.454	2.479	15.923	30.437
datum1697	15.467	7.754	13.492	21.071
datum1698	14.572	7.319	17.687	30.742
datum1699	8.590	14.152	18.117	65.321
datum1700	18.915	8.384	17.826	190.216
datum1701	11.977	16.301	12.197	29.188
datum1702	4.928	4.105	10.332	22.316
datum1703	19.261	9.596	13.277	25.378
datum1704	18.762	11.927	10.020	50.880
datum1705	3.386	13.526	10.748	22.057
datum1706	4.496	13.247	15.189	28.655
datum1707	8.781	16.082	11.683	39.487
datum1708	14.852	11.275	12.957	21.999
datum1709	17.002	9.907	19.046	46.642
datum1710	7.954	6.234	16.249	49.178
datum1711	1.406	16.745	10.425	69.593
datum1712	6.632	7.219	10.349	21.444
datum1713	2.523	7.334	19.172	21.341
datum1714	3.339	15.733	12.455	25.548
datum1715	5.962	9.659	19.132	109.403
datum1716	1.950	5.613	11.222	30.744
datum1717	4.608	11.486	16.069	26.738
datum1718	6.112	10.377	19.021	22.064
datum1719	19.011	3.244	10.864	22.631
datum1720	13.845	5.489	13.738	73.072
datum1721	6.185	5.559	19.355	21.734
datum1722	2.985	2.663	17.077	22.137
datum1723	3.678	11.669	14.378	22.717
datum1724	13.221	11.228	16.298	106.968
datum1725	16.770	6.969	11.976	36.234
datum1726	16.114	16.589	16.601	24.105
datum1727	14.206	14.027	18.385	43.155
datum1728	12.292	4.895	11.139	90.767
datum1729	12.574	5.235	18.032	259.994
datum1730	14.390	15.844	18.956	20.681
datum1731	14.492	13.593	12.572	39.103
datum1732	19.695	11.648	14.976	21.211
datum1733	8.498	12.592	16.949	80.967
datum1734	2.485	16.486	14.863	32.474
datum1735	2.698	2.880	10.847	30.650
datum1736	13.536	13.755	14.143	25.440
datum1737	3.387	10.506	17.625	46.000
datum1738	3.435	12.961	17.973	30.176
datum1739	19.473	14.992	11.009	45.049
datum1740	11.880	1.828	17.891	29.710
datum1741	15.134	14.838	14.758	25.490
datum1742	18.615	2.712	16.198	42.999
datum1743	12.999	12.400	14.559	63.149
datum1744	7.776	10.709	11.015	80.077
datum1745	18.669	16.226	13.315	108.644
datum1746	6.086	14.083	15.631	24.456
datum1747	18.353	3.008	14.925	20.703
datum1748	14.349	3.493	11.798	35.397
datum1749	16.270	3.223	11.136	60.677
datum1750	9.057	16.136	11.708	45.102
datum1751	10.692	6.010	19.656	22.473
datum1752	8.744	0.297	14.052	36.785
datum1753	7.855	3.711	19.078	4662.276
datum1754	5.148	2.020	12.680	28.745
datum1755	1.230	11.297	16.236	21.532
datum1756	0.287	4.024	17.624	51.431
datum1757	9.762	7.283	11.776	80.626
datum1758	15.737	13.198	10.053	30.615
datum1759	18.418	4.446	12.505	30.231
datum1760	4.565	0.574	18.853	42.096
datum1761	5.448	6.041	17.224	27.797
datum1762	13.286	2.034	19.402	170.919
datum1763	13.287	5.205	10.977	68.810
datum1764	3.616	6.225	19.390	33.037
datum1765	12.181	16.607	10.380	58.007
datum1766	17.119	5.031	11.309	42.499
datum1767	10.939	7.376	16.779	36.810
datum1768	9.559	3.970	10.715	31.592
datum1769	4.679	14.668	17.913	54.355
datum1770	14.453	10.211	13.080	37.950
datum1771	17.783	0.288	10.077	1463.744
datum1772	10.660	6.565	13.803	25.540
datum1773	17.530	10.634	12.383	70.044
datum1774	5.196	14.521	13.197	20.236
datum1775	19.962	10.126	16.225	66.472
datum1776	0.034	1.570	13.565	20.914
datum1777	8.056	3.728	16.144	78.549
datum1778	7.681	13.469	14.011	52.928
datum1779	8.797	11.771	19.462	46.679
datum1780	8.930	2.096	11.338	36.736
datum1781	5.223	14.185	10.362	33.721
datum1782	0.270	16.729	15.258	65.392
datum1783	18.054	15.548	17.695	23.984
datum1784	17.072	12.243	11.042	30.281
datum1785	5.438	13.367	12.927	56.832
datum1786	18.790	10.468	10.950	31.275
datum1787	0.910	13.319	19.387	153.888
datum1788	10.485	6.248	14.386	30.889
datum1789	0.255	11.977	15.074	90.035
datum1790	0.673	3.757	10.277	48.804
datum1791	5.553	10.951	17.939	315.607
datum1792	4.934	14.731	13.915	24.686
datum1793	11.790	3.891	11.206	31.165
datum1794	15.349	14.580	14.037	21.566
datum1795	7.711	2.914	17.347	23.070
datum1796	18.602	14.700	15.686	24.235
datum1797	2.209	12.497	13.267	34.125
datum1798	12.202	11.443	11.842	20.417
datum1799	14.917	9.405	10.778	23.531
datum1800	0.977	15.266	16.679	73.914
datum1801	8.651	4.137	11.789	21.506
datum1802	4.566	0.830	13.549	81.444
datum1803	14.735	4.115	16.464	60.103
datum1804	12.424	3.594	13.259	25.190
datum1805	12.960	14.441	10.094	33.885
datum1806	8.449	8.799	10.805	42.752
datum1807	19.283	14.919	10.556	175.541
datum1808	3.410	9.730	13.290	20.331
datum1809	19.522	10.906	11.127	29.870
datum1810	1.813	9.547	19.252	42.418
datum1811	0.799	15.950	18.713	44.706
datum1812	5.105	5.023	12.603	21.463
datum1813	16.700	7.840	18.580	41.850
datum1814	5.113	6.736	12.488	69.652
datum1815	14.336	12.244	13.632	701.035
datum1816	7.790	14.829	19.484	21.326
datum1817	9.540	6.345	17.856	23.988
datum1818	6.591	9.599	15.834	92.198
datum1819	10.009	9.031	13.457	100.366
datum1820	12.184	4.789	16.887	78.655
datum1821	12.002	11.381	11.505	43.620
datum1822	5.310	11.925	15.125	97.918
datum1823	14.391	11.036	18.385	26.318
datum1824	1.494	14.998	11.342	24.150
datum1825	5.130	6.590	15.626	130.524
datum1826	0.708	10.242	11.367	22.362
datum1827	12.948	1.219	10.248	68.416
datum1828	13.817	6.769	16.136	169.377
datum1829	4.422	13.729	15.401	40.977
datum1830	4.630	2.653	13.671	57.384
datum1831	17.661	9.172	17.134	27.809
datum1832	15.033	6.299	18.125	20.579
datum1833	1.857	3.212	17.255	32.825
datum1834	16.605	8.362	12.910	39.215
datum1835	1.060	7.521	12.135	514.186
datum1836	18.320	9.693	12.692	989.922
datum1837	18.803	13.407	19.217	34.614
datum1838	17.407	2.350	10.193	24.428
datum1839	15.368	3.654	10.427	20.680
datum1840	13.833	11.699	19.124	68.752
datum1841	15.438	6.300	12.174	55.948
datum1842	9.311	13.052	11.995	33.645
datum1843	4.739	12.234	15.939	77.332
datum1844	6.165	10.504	12.358	37.081
datum1845	18.812	15.941	11.320	26.144
datum1846	13.611	16.217	10.389	35.778
datum1847	1.542	10.947	10.510	56.132
datum1848	12.770	13.294	18.446	72.134
datum1849	16.723	13.306	11.394	163.863
datum1850	0.033	15.001	14.281	25.258
datum1851	2.311	10.333	10.987	72.635
datum1852	15.561	11.599	14.560	32.236
datum1853	17.149	11.824	19.021	22.921
datum1854	7.825	0.938	12.382	36.538
datum1855	10.915	13.449	10.887	139.335
datum1856	0.308	8.171	15.395	106.377
datum1857	5.492	9.593	12.604	46.966
datum1858	13.496	3.334	11.848	21.524
datum1859	3.973	10.993	18.411	120.907
datum1860	5.175	14.554	13.966	144.118
datum1861	3.168	13.182	12.632	139.620
datum1862	17.454	12.315	13.053	26.610
datum1863	16.263	16.721	13.244	23.526
datum1864	14.967	6.564	11.489	23.715
datum1865	8.866	12.886	18.034	20.713
datum1866	16.789	0.277	18.364	22.443
datum1867	14.039	6.271	12.047	21.099
datum1868	6.229	3.837	13.375	36.529
datum1869	12.910	2.896	13.040	29.700
datum1870	0.660	2.149	10.987	22.576
datum1871	18.579	5.419	12.464	37.592
datum1872	14.300	12.270	19.664	32.208
datum1873	3.870	13.092	16.374	23.022
datum1874	6.000	9.534	12.126	51.351
datum1875	14.076	2.612	19.937	60.370
datum1876	11.168	14.625	12.650	104.266
datum1877	16.149	8.077	11.602	27.639
datum1878	17.290	16.255	15.600	32.412
datum1879	2.988	12.387	11.557	41.668
datum1880	16.278	2.964	19.529	27.096
datum1881	1.014	13.343	11.038	22.233
datum1882	14.764	1.970	18.472	22.229
datum1883	7.616	13.812	18.098	61.091
datum1884	11.741	13.873	19.040	56.291
datum1885	7.550	9.455	11.708	31.747
datum1886	17.563	12.615	11.801	22.512
datum1887	8.843	13.537	14.696	111.713
datum1888	1.415	16.569	16.523	281.122
datum1889	8.013	14.068	16.625	32.691
datum1890	12.207	2.144	16.558	32.775
datum1891	17.052	10.122	13.776	39.007
datum1892	13.123	0.304	11.995	24.219
datum1893	3.373	2.435	11.096	161.359
datum1894	12.532	16.134	15.894	387.530
datum1895	7.362	14.851	17.326	21.469
datum1896	14.089	1.268	14.510	34.473
datum1897	16.200	8.416	16.895	24.923
datum1898	18.376	1.131	14.182	31.690
datum1899	18.474	15.748	19.134	24.284
datum1900	2.723	11.435	10.711	23.995
datum1901	10.929	9.961	12.324	22.259
datum1902	18.632	14.177	15.896	31.454
datum1903	13.188	14.418	19.278	199.771
datum1904	5.851	4.212	14.397	54.370
datum1905	8.700	15.799	17.905	56.261
datum1906	7.369	11.559	13.155	57.447
datum1907	18.250	16.454	12.094	28.377
datum1908	8.971	15.087	15.377	39.660
datum1909	16.943	5.310	14.320	53.793
datum1910	18.159	6.524	11.552	71.251
datum1911	3.700	0.902	16.036	21.180
datum1912	9.333	13.558	16.323	31.739
datum1913	18.024	9.757	17.130	24.714
datum1914	3.347	6.123	17.391	27.054
datum1915	5.075	6.401	12.015	20.276
datum1916	14.552	14.997	11.050	21.716
datum1917	10.665	0.849	11.504	72.437
datum1918	15.122	10.212	15.085	21.547
datum1919	1.093	10.251	10.400	21.867
datum1920	11.732	15.895	12.058	54.507
datum1921	14.627	6.561	10.325	25.927
datum1922	1.037	14.427	13.566	437904.174
datum1923	6.270	12.890	12.622	26.161
datum1924	14.311	11.652	13.144	59.025
datum1925	19.262	14.260	14.386	149.716
datum1926	16.567	3.856	12.133	35.424
datum1927	18.246	14.828	10.617	50.621
datum1928	17.742	15.124	11.121	32.038
datum1929	0.217	10.709	14.153	111.456
datum1930	5.168	1.130	16.105	41.642
datum1931	19.693	5.989	17.441	51.910
datum1932	13.652	5.566	12.281	48.124
datum1933	10.059	1.910	18.134	1292.453
datum1934	7.405	6.006	14.381	228.270
datum1935	9.151	10.465	18.752	24.523
datum1936	17.247	0.677	17.387	99.107
datum1937	16.583	11.918	18.373	49.775
datum1938	5.097	10.246	10.610	23.938
datum1939	13.361	15.476	17.110	621.038
datum1940	8.106	16.572	17.354	42.000
datum1941	12.354	15.508	16.151	221.498
datum1942	16.644	15.530	13.048	20.237
datum1943	6.710	13.386	11.620	91.074
datum1944	7.602	10.770	13.498	230.744
datum1945	11.969	14.210	18.336	142.025
datum1946	19.156	16.654	13.067	30.511
datum1947	6.823	9.757	11.971	190.092
datum1948	16.385	12.694	11.489	44.186
datum1949	5.617	6.471	16.255	28.102
datum1950	7.505	0.687	10.027	811.853
datum1951	8.821	12.742	11.019	23.561
datum1952	6.975	15.454	14.842	2442.017
datum1953	10.675	13.860	19.866	36.062
datum1954	12.954	3.559	19.724	27.861
datum1955	19.054	14.466	14.719	47.502
datum1956	15.265	16.626	19.825	25.254
datum1957	9.653	10.489	19.954	100.319
datum1958	14.710	8.858	10.627	24.794
datum1959	11.403	9.816	11.212	2652.651
datum1960	12.098	10.549	16.015	53.013
datum1961	0.787	15.333	17.008	39.763
datum1962	3.183	6.862	13.436	21.382
datum1963	7.597	9.472	17.033	78.848
datum1964	6.205	1.240	19.115	39.866
datum1965	19.608	12.764	15.072	39.642
datum1966	5.940	1.470	17.205	60.905
datum1967	18.796	3.521	11.860	39.460
datum1968	5.870	14.359	17.331	31.443
datum1969	3.007	7.181	11.869	100.487
datum1970	13.441	8.332	10.075	42.418
